No.,Time,Source,Destination,Protocol,Length,Info
242,2.007661,15.235.119.117,100.86.104.173,TCP,1464,"25565  >  51527 [PSH, ACK] Seq=107889 Ack=412 Win=501 Len=1410"
243,2.007661,15.235.119.117,100.86.104.173,TCP,1464,25565  >  51527 [ACK] Seq=109299 Ack=412 Win=501 Len=1410
244,2.007991,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=440 Ack=110709 Win=512 Len=0
245,2.011286,15.235.119.117,100.86.104.173,TCP,928,"25565  >  51527 [PSH, ACK] Seq=110709 Ack=412 Win=501 Len=874"
246,2.011286,15.235.119.117,100.86.104.173,TCP,1464,25565  >  51527 [ACK] Seq=111583 Ack=412 Win=501 Len=1410
247,2.011375,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=440 Ack=112993 Win=512 Len=0
248,2.030647,15.235.119.117,100.86.104.173,TCP,1464,25565  >  51527 [ACK] Seq=112993 Ack=440 Win=501 Len=1410
249,2.030647,15.235.119.117,100.86.104.173,TCP,127,"25565  >  51527 [PSH, ACK] Seq=114403 Ack=440 Win=501 Len=73"
250,2.030901,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=440 Ack=114476 Win=512 Len=0
251,2.042801,100.86.104.173,15.235.119.117,TCP,82,"51527  >  25565 [PSH, ACK] Seq=440 Ack=114476 Win=512 Len=28"
252,2.052079,15.235.119.117,100.86.104.173,TCP,1464,25565  >  51527 [ACK] Seq=114476 Ack=440 Win=501 Len=1410
253,2.052079,15.235.119.117,100.86.104.173,TCP,1464,"25565  >  51527 [PSH, ACK] Seq=115886 Ack=440 Win=501 Len=1410"
254,2.052079,15.235.119.117,100.86.104.173,TCP,1464,25565  >  51527 [ACK] Seq=117296 Ack=440 Win=501 Len=1410
255,2.052079,15.235.119.117,100.86.104.173,TCP,519,"25565  >  51527 [PSH, ACK] Seq=118706 Ack=440 Win=501 Len=465"
256,2.052301,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=468 Ack=119171 Win=512 Len=0
257,2.096655,100.86.104.173,15.235.119.117,TCP,82,"51527  >  25565 [PSH, ACK] Seq=468 Ack=119171 Win=512 Len=28"
258,2.100291,15.235.119.117,100.86.104.173,TCP,66,"25565  >  51527 [PSH, ACK] Seq=119171 Ack=468 Win=501 Len=12"
259,2.140906,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=496 Ack=119183 Win=512 Len=0
260,2.14285,100.86.104.173,15.235.119.117,TCP,82,"51527  >  25565 [PSH, ACK] Seq=496 Ack=119183 Win=512 Len=28"
261,2.165351,15.235.119.117,100.86.104.173,TCP,56,25565  >  51527 [ACK] Seq=119183 Ack=496 Win=501 Len=0
262,2.166717,15.235.119.117,100.86.104.173,TCP,56,25565  >  51527 [ACK] Seq=119183 Ack=524 Win=501 Len=0
263,2.175966,100.86.104.173,15.235.119.117,TCP,82,"51527  >  25565 [PSH, ACK] Seq=524 Ack=119183 Win=512 Len=28"
264,2.204764,15.235.119.117,100.86.104.173,TCP,66,"25565  >  51527 [PSH, ACK] Seq=119183 Ack=524 Win=501 Len=12"
265,2.204764,15.235.119.117,100.86.104.173,TCP,56,25565  >  51527 [ACK] Seq=119195 Ack=552 Win=501 Len=0
266,2.22577,100.86.104.173,15.235.119.117,TCP,82,"51527  >  25565 [PSH, ACK] Seq=552 Ack=119195 Win=512 Len=28"
267,2.249384,15.235.119.117,100.86.104.173,TCP,141,"25565  >  51527 [PSH, ACK] Seq=119195 Ack=552 Win=501 Len=87"
268,2.257104,15.235.119.117,100.86.104.173,TCP,56,25565  >  51527 [ACK] Seq=119282 Ack=580 Win=501 Len=0
269,2.27604,100.86.104.173,15.235.119.117,TCP,82,"51527  >  25565 [PSH, ACK] Seq=580 Ack=119282 Win=511 Len=28"
272,2.299117,15.235.119.117,100.86.104.173,TCP,66,"25565  >  51527 [PSH, ACK] Seq=119282 Ack=580 Win=501 Len=12"
