"No.","Time","Source","Destination","Protocol","Length","Info"
"378","3.533016","192.168.0.92","206.247.128.13","TLSv1.2","133","Application Data"
"379","3.573664","206.247.128.13","192.168.0.92","UDP","135","8801  >  54695 Len=93"
"380","3.596093","206.247.128.13","192.168.0.92","TCP","66","443  >  63277 [ACK] Seq=601 Ack=603 Win=11 Len=0 TSval=3364381367 TSecr=1112111156"
"381","3.624979","192.168.0.92","206.247.128.13","UDP","148","54695  >  8801 Len=106"
"382","3.652690","192.168.0.92","206.247.128.13","TLSv1.2","849","Application Data"
"383","3.652766","192.168.0.92","206.247.128.13","TLSv1.2","224","Application Data"
"384","3.671748","206.247.128.13","192.168.0.92","TCP","66","443  >  63277 [ACK] Seq=601 Ack=1386 Win=11 Len=0 TSval=3364381442 TSecr=1112111276"
"385","3.671750","206.247.128.13","192.168.0.92","TCP","66","443  >  63277 [ACK] Seq=601 Ack=1544 Win=11 Len=0 TSval=3364381442 TSecr=1112111276"
"386","3.678091","206.247.128.13","192.168.0.92","TLSv1.2","109","Application Data"
"387","3.678092","206.247.128.13","192.168.0.92","UDP","134","8801  >  54695 Len=92"
"388","3.678208","192.168.0.92","206.247.128.13","TCP","66","63277  >  443 [ACK] Seq=1544 Ack=644 Win=2047 Len=0 TSval=1112111301 TSecr=3364381447"
"389","3.679035","192.168.0.92","206.247.128.13","UDP","115","54695  >  8801 Len=73"
"391","3.723347","192.168.0.92","206.247.128.13","TLSv1.2","104","Application Data"
"392","3.724063","192.168.0.92","206.247.128.13","UDP","106","54695  >  8801 Len=64"
"393","3.724094","192.168.0.92","206.247.128.13","UDP","149","54695  >  8801 Len=107"
"399","3.741245","206.247.128.13","192.168.0.92","TCP","66","443  >  63278 [ACK] Seq=50 Ack=106 Win=11 Len=0 TSval=3364381512 TSecr=2673760528"
"400","3.741246","206.247.128.13","192.168.0.92","TLSv1.2","104","Application Data"
"401","3.741370","192.168.0.92","206.247.128.13","TCP","66","63278  >  443 [ACK] Seq=106 Ack=88 Win=2047 Len=0 TSval=2673760546 TSecr=3364381512"
"404","3.748607","206.247.128.13","192.168.0.92","TLSv1.2","115","Application Data"
"405","3.748723","192.168.0.92","206.247.128.13","TCP","66","63278  >  443 [ACK] Seq=106 Ack=137 Win=2047 Len=0 TSval=2673760554 TSecr=3364381519"
"406","3.748913","192.168.0.92","206.247.128.13","TLSv1.2","133","Application Data"
"407","3.750134","206.247.128.13","192.168.0.92","UDP","115","8801  >  54695 Len=73"
"411","3.792498","206.247.128.13","192.168.0.92","UDP","134","8801  >  54695 Len=92"
"412","3.815669","206.247.128.13","192.168.0.92","TCP","66","443  >  63278 [ACK] Seq=137 Ack=173 Win=11 Len=0 TSval=3364381587 TSecr=2673760554"
"413","3.824883","192.168.0.92","206.247.128.13","UDP","147","54695  >  8801 Len=105"
"414","3.836102","192.168.0.92","206.247.128.13","UDP","123","55786  >  8801 Len=81"
"415","3.852189","206.247.128.13","192.168.0.92","UDP","133","8801  >  55786 Len=91"
"416","3.852468","192.168.0.92","206.247.128.13","WireGuard","151","Transport Data, receiver=0x87A7C525, counter=1873780331932876820, datalen=77"
"417","3.856362","206.247.128.13","192.168.0.92","WireGuard","123","Transport Data, receiver=0x3772BE24, counter=4613094805280981210, datalen=49"
"418","3.871630","206.247.128.13","192.168.0.92","UDP","135","8801  >  54695 Len=93"
"424","3.924402","192.168.0.92","206.247.128.13","UDP","145","54695  >  8801 Len=103"
"428","3.975446","206.247.128.13","192.168.0.92","UDP","134","8801  >  54695 Len=92"
"429","3.997974","192.168.0.92","206.247.128.13","UDP","123","54695  >  8801 Len=81"
"430","4.005422","206.247.128.13","192.168.0.92","UDP","133","8801  >  54695 Len=91"
"431","4.005645","192.168.0.92","206.247.128.13","WireGuard","151","Transport Data, receiver=0x87A7C525, counter=1873780353407713450, datalen=77"
"432","4.005670","192.168.0.92","206.247.128.13","UDP","123","59312  >  8801 Len=81"
"433","4.016171","206.247.128.13","192.168.0.92","WireGuard","123","Transport Data, receiver=0x3872BE24, counter=4613094826755817596, datalen=49"
"434","4.023788","206.247.128.13","192.168.0.92","WireGuard","123","Transport Data, receiver=0x3872BE24, counter=4613094839640719491, datalen=49"
"435","4.023899","192.168.0.92","206.247.128.13","UDP","147","54695  >  8801 Len=105"
"436","4.025646","206.247.128.13","192.168.0.92","UDP","133","8801  >  59312 Len=91"
"437","4.025852","192.168.0.92","206.247.128.13","WireGuard","151","Transport Data, receiver=0x87A7C525, counter=1873780366292615358, datalen=77"
"438","4.077996","206.247.128.13","192.168.0.92","UDP","134","8801  >  54695 Len=92"
"442","4.078538","192.168.0.92","206.247.128.13","UDP","115","54695  >  8801 Len=73"
"448","4.123939","192.168.0.92","206.247.128.13","UDP","147","54695  >  8801 Len=105"
"449","4.152969","206.247.128.13","192.168.0.92","UDP","115","8801  >  54695 Len=73"
"450","4.171839","206.247.128.13","192.168.0.92","UDP","132","8801  >  54695 Len=90"
"451","4.224513","192.168.0.92","206.247.128.13","UDP","146","54695  >  8801 Len=104"
"452","4.245043","206.247.128.13","192.168.0.92","UDP","106","8801  >  54695 Len=64"
"453","4.272752","206.247.128.13","192.168.0.92","UDP","134","8801  >  54695 Len=92"
"454","4.324257","192.168.0.92","206.247.128.13","UDP","145","54695  >  8801 Len=103"
"455","4.355098","206.247.128.13","192.168.0.92","UDP","134","8801  >  54695 Len=92"
"462","4.424010","192.168.0.92","206.247.128.13","UDP","146","54695  >  8801 Len=104"
"466","4.479918","206.247.128.13","192.168.0.92","UDP","135","8801  >  54695 Len=93"
"467","4.480344","192.168.0.92","206.247.128.13","UDP","115","54695  >  8801 Len=73"
"468","4.523858","192.168.0.92","206.247.128.13","UDP","147","54695  >  8801 Len=105"
"469","4.553548","206.247.128.13","192.168.0.92","UDP","115","8801  >  54695 Len=73"
"470","4.571707","206.247.128.13","192.168.0.92","UDP","132","8801  >  54695 Len=90"
"479","4.624917","192.168.0.92","206.247.128.13","UDP","144","54695  >  8801 Len=102"
"480","4.675203","206.247.128.13","192.168.0.92","UDP","134","8801  >  54695 Len=92"
"481","4.694786","206.247.128.13","192.168.0.92","TLSv1.2","138","Application Data"
"482","4.694913","192.168.0.92","206.247.128.13","TCP","66","63277  >  443 [ACK] Seq=1544 Ack=716 Win=2046 Len=0 TSval=1112112318 TSecr=3364382465"
"483","4.695136","192.168.0.92","206.247.128.13","TLSv1.2","109","Application Data"
"484","4.723970","192.168.0.92","206.247.128.13","UDP","145","54695  >  8801 Len=103"
"485","4.761097","206.247.128.13","192.168.0.92","TCP","66","443  >  63277 [ACK] Seq=716 Ack=1587 Win=11 Len=0 TSval=3364382531 TSecr=1112112318"
"486","4.778089","206.247.128.13","192.168.0.92","UDP","136","8801  >  54695 Len=94"
"487","4.824136","192.168.0.92","206.247.128.13","UDP","106","54695  >  8801 Len=64"
"488","4.824181","192.168.0.92","206.247.128.13","UDP","147","54695  >  8801 Len=105"
"489","4.853111","206.247.128.13","192.168.0.92","UDP","115","8801  >  54695 Len=73"
"496","4.872065","206.247.128.13","192.168.0.92","UDP","135","8801  >  54695 Len=93"
"497","4.872378","192.168.0.92","206.247.128.13","UDP","115","54695  >  8801 Len=73"
"501","4.924653","192.168.0.92","206.247.128.13","UDP","147","54695  >  8801 Len=105"
"502","4.973219","206.247.128.13","192.168.0.92","UDP","134","8801  >  54695 Len=92"
"507","5.026155","192.168.0.92","206.247.128.13","UDP","147","54695  >  8801 Len=105"
"512","5.075806","206.247.128.13","192.168.0.92","UDP","134","8801  >  54695 Len=92"
"515","5.124368","192.168.0.92","206.247.128.13","UDP","144","54695  >  8801 Len=102"
"520","5.179287","206.247.128.13","192.168.0.92","UDP","134","8801  >  54695 Len=92"
"521","5.179586","192.168.0.92","206.247.128.13","UDP","115","54695  >  8801 Len=73"
"527","5.224384","192.168.0.92","206.247.128.13","UDP","148","54695  >  8801 Len=106"
"528","5.254231","206.247.128.13","192.168.0.92","UDP","115","8801  >  54695 Len=73"
"529","5.274222","206.247.128.13","192.168.0.92","UDP","133","8801  >  54695 Len=91"
"530","5.274224","206.247.128.13","192.168.0.92","UDP","106","8801  >  54695 Len=64"
"531","5.325551","192.168.0.92","206.247.128.13","UDP","150","54695  >  8801 Len=108"
"532","5.375515","206.247.128.13","192.168.0.92","UDP","136","8801  >  54695 Len=94"
"541","5.424528","192.168.0.92","206.247.128.13","UDP","147","54695  >  8801 Len=105"
"543","5.477760","206.247.128.13","192.168.0.92","UDP","134","8801  >  54695 Len=92"
"544","5.524758","192.168.0.92","206.247.128.13","UDP","147","54695  >  8801 Len=105"
"551","5.550871","206.247.128.13","192.168.0.92","UDP","115","8801  >  54695 Len=73"
