No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
481,1.477305,0,1,1,1514,5,hulu,0.0,cd
482,1.477423,1,0,1,66,3,hulu,0.00011799999999984045,cd
483,1.480528,0,1,1,1514,3,hulu,0.0031050000000001354,cd
484,1.480529,0,1,1,1514,3,hulu,9.999999999177334e-07,cd
485,1.480529,0,1,1,1514,3,hulu,0.0,cd
486,1.48053,0,1,3,1514,2,hulu,9.999999999177334e-07,cd
487,1.48053,0,1,1,1514,3,hulu,0.0,cd
488,1.480531,0,1,1,1514,5,hulu,1.000000000139778e-06,cd
489,1.480531,0,1,1,1514,3,hulu,0.0,cd
490,1.480676,1,0,1,66,3,hulu,0.00014500000000006175,cd
491,1.482799,0,1,1,1514,3,hulu,0.002122999999999875,cd
492,1.482799,0,1,1,1514,5,hulu,0.0,cd
493,1.48288,1,0,1,66,3,hulu,8.099999999999774e-05,cd
494,1.483756,0,1,1,1514,3,hulu,0.0008760000000000989,cd
495,1.483756,0,1,1,1514,3,hulu,0.0,cd
496,1.483757,0,1,1,1514,3,hulu,9.999999999177334e-07,cd
497,1.483758,0,1,1,1514,3,hulu,9.999999999177334e-07,cd
498,1.483758,0,1,1,1514,3,hulu,0.0,cd
499,1.483759,0,1,3,1514,2,hulu,1.000000000139778e-06,cd
500,1.483759,0,1,1,1514,3,hulu,0.0,cd
501,1.48376,0,1,1,1514,3,hulu,9.999999999177334e-07,cd
502,1.483761,0,1,1,1514,3,hulu,1.000000000139778e-06,cd
503,1.483761,0,1,1,1514,3,hulu,0.0,cd
504,1.483762,0,1,1,1514,3,hulu,9.999999999177334e-07,cd
505,1.483762,0,1,1,1514,5,hulu,0.0,cd
506,1.483763,0,1,1,1514,3,hulu,9.999999999177334e-07,cd
507,1.483764,0,1,1,1514,3,hulu,1.000000000139778e-06,cd
508,1.483764,0,1,1,1514,3,hulu,0.0,cd
509,1.483765,0,1,1,1514,3,hulu,9.999999999177334e-07,cd
510,1.483765,0,1,3,1514,2,hulu,0.0,cd
511,1.483766,0,1,1,1514,5,hulu,9.999999999177334e-07,cd
512,1.483766,0,1,1,1514,3,hulu,0.0,cd
513,1.483767,0,1,1,1514,3,hulu,1.000000000139778e-06,cd
514,1.483767,0,1,1,1514,3,hulu,0.0,cd
515,1.483768,0,1,1,1514,3,hulu,9.999999999177334e-07,cd
516,1.483768,0,1,1,1514,3,hulu,0.0,cd
517,1.483769,0,1,1,1514,5,hulu,9.999999999177334e-07,cd
518,1.483769,0,1,1,1514,3,hulu,0.0,cd
519,1.483892,1,0,1,66,3,hulu,0.00012300000000009526,cd
520,1.488525,0,1,1,1514,3,hulu,0.004633000000000109,cd
