No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
77,4.330148,1,0,2,215,2,discord,0.6461660000000005,sud
78,4.331077,1,0,2,136,2,discord,0.0009289999999992915,sud
79,4.348286,0,1,1,66,3,discord,0.017209000000000252,sud
80,4.348294,0,1,1,66,3,discord,8.000000000230045e-06,sud
81,4.364808,1,0,2,233,2,discord,0.016513999999999918,sud
82,4.365071,1,0,2,260,2,discord,0.0002630000000003463,sud
83,4.380924,0,1,1,66,3,discord,0.015852999999999895,sud
84,4.380925,0,1,1,66,3,discord,1.000000000139778e-06,sud
85,4.390531,0,1,2,125,2,discord,0.009605999999999781,sud
86,4.390641,1,0,1,66,3,discord,0.00010999999999938836,sud
87,4.446025,0,1,2,359,2,discord,0.0553840000000001,sud
88,4.446139,1,0,1,66,3,discord,0.00011399999999994748,sud
89,4.501357,0,1,2,439,2,discord,0.05521799999999999,sud
90,4.501495,1,0,1,66,3,discord,0.0001380000000006376,sud
91,4.510508,0,1,2,413,2,discord,0.009012999999999494,sud
92,4.510509,0,1,2,778,2,discord,1.000000000139778e-06,sud
93,4.51051,0,1,2,97,2,discord,1.000000000139778e-06,sud
94,4.51059,1,0,1,66,3,discord,7.999999999963592e-05,sud
95,4.518514,0,1,2,113,2,discord,0.007924000000000042,sud
96,4.518658,1,0,1,66,3,discord,0.0001440000000005881,sud
97,4.527247,0,1,2,297,2,discord,0.008588999999999736,sud
98,4.527404,1,0,1,66,3,discord,0.00015699999999974068,sud
99,4.541383,0,1,2,279,2,discord,0.013978999999999964,sud
100,4.541517,1,0,1,66,3,discord,0.0001340000000000785,sud
102,4.631633,0,1,2,340,2,discord,0.09011600000000008,sud
103,4.631785,1,0,1,66,3,discord,0.00015199999999992997,sud
105,5.11865,0,1,2,113,2,discord,0.4868649999999999,sud
106,5.11881,1,0,1,66,3,discord,0.00016000000000016001,sud
109,5.628712,0,1,2,117,2,discord,0.5099020000000003,sud
110,5.628891,1,0,1,66,3,discord,0.00017900000000015126,sud
111,5.70568,0,1,2,213,2,discord,0.07678899999999977,sud
112,5.705813,1,0,1,66,3,discord,0.00013299999999993872,sud
113,5.748309,0,1,2,126,2,discord,0.04249599999999987,sud
114,5.74843,1,0,1,66,3,discord,0.00012100000000003774,sud
116,5.821524,0,1,2,112,2,discord,0.07309400000000021,sud
117,5.821668,1,0,1,66,3,discord,0.00014399999999969992,sud
118,5.825094,0,1,2,116,2,discord,0.003426000000000151,sud
119,5.825559,1,0,1,66,3,discord,0.00046500000000015973,sud
126,6.357767,0,1,2,233,2,discord,0.5322079999999998,sud
127,6.357902,1,0,1,66,3,discord,0.00013500000000021828,sud
