No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
264,6.685128,0,1,5,1242,15,youtube,0.0018479999999998498,cd
265,6.685129,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
266,6.68513,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
267,6.685131,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
268,6.685132,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
269,6.685133,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
270,6.685133,0,1,5,1242,15,youtube,0.0,cd
273,6.685657,1,0,5,75,15,youtube,0.0005239999999995248,cd
274,6.686634,0,1,5,1242,15,youtube,0.0009769999999997836,cd
275,6.686636,0,1,5,1242,15,youtube,2.000000000279556e-06,cd
276,6.686638,0,1,5,1242,15,youtube,2.000000000279556e-06,cd
278,6.686641,0,1,5,1242,15,youtube,2.9999999995311555e-06,cd
279,6.686643,0,1,5,1242,15,youtube,2.000000000279556e-06,cd
280,6.686644,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
281,6.686645,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
282,6.686647,0,1,5,1242,15,youtube,1.9999999993913775e-06,cd
290,6.686965,1,0,5,75,15,youtube,0.00031800000000004047,cd
295,6.688071,0,1,5,1242,15,youtube,0.0011060000000000514,cd
299,6.688695,0,1,5,1242,15,youtube,0.00062400000000018,cd
300,6.688696,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
301,6.688697,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
302,6.688698,0,1,5,1242,15,youtube,9.999999992515995e-07,cd
303,6.688699,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
304,6.6887,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
305,6.6887,0,1,5,1242,15,youtube,0.0,cd
306,6.688701,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
307,6.688702,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
308,6.688703,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
309,6.688704,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
310,6.688704,0,1,5,1242,15,youtube,0.0,cd
311,6.688705,0,1,5,1242,15,youtube,9.999999992515995e-07,cd
312,6.688903,1,0,5,75,15,youtube,0.0001980000000001425,cd
313,6.691761,0,1,5,1242,15,youtube,0.002857999999999805,cd
314,6.691762,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
315,6.691763,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
316,6.691764,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
317,6.691765,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
318,6.691766,0,1,5,1242,15,youtube,1.000000000139778e-06,cd
319,6.691767,0,1,5,1242,15,youtube,9.999999992515995e-07,cd
320,6.691767,0,1,5,1242,15,youtube,0.0,cd
