No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
2400,3.619953,0,1,2,1202,2,bing,2.000000000279556e-06,sd
2401,3.619955,0,1,2,92,2,bing,1.9999999998354667e-06,sd
2402,3.620039,1,0,1,54,3,bing,8.399999999975094e-05,sd
2403,3.620124,1,0,1,54,12,bing,8.500000000033481e-05,sd
2404,3.632049,0,1,2,202,2,bing,0.011924999999999741,sd
2405,3.63213,1,0,1,54,3,bing,8.100000000021979e-05,sd
2406,3.632522,1,0,1,1494,3,bing,0.0003919999999997259,sd
2407,3.632525,1,0,1,1494,3,bing,2.9999999999752447e-06,sd
2408,3.632549,1,0,2,185,2,bing,2.4000000000246047e-05,sd
2409,3.646873,0,1,1,56,3,bing,0.014323999999999781,sd
2410,3.646874,0,1,1,56,3,bing,1.000000000139778e-06,sd
2411,3.64921,0,1,2,712,2,bing,0.0023360000000001158,sd
2412,3.649212,0,1,2,92,2,bing,1.9999999998354667e-06,sd
2413,3.649314,1,0,1,54,3,bing,0.0001020000000000465,sd
2509,3.99305,1,0,1,1494,3,bing,0.34373600000000026,sd
2510,3.993053,1,0,1,1494,3,bing,2.9999999999752447e-06,sd
2511,3.993089,1,0,2,599,2,bing,3.5999999999702936e-05,sd
2512,4.005332,0,1,1,56,3,bing,0.012243000000000226,sd
2513,4.005333,0,1,1,56,3,bing,1.000000000139778e-06,sd
2514,4.014764,0,1,2,201,2,bing,0.00943100000000019,sd
2515,4.01485,1,0,1,54,3,bing,8.599999999958641e-05,sd
2516,4.029763,1,0,1,1494,3,bing,0.014912999999999954,sd
2517,4.029765,1,0,1,1494,3,bing,2.000000000279556e-06,sd
2518,4.02989,1,0,2,599,2,bing,0.00012499999999970868,sd
2519,4.04239,0,1,1,56,3,bing,0.012500000000000178,sd
2520,4.042391,0,1,1,56,3,bing,1.000000000139778e-06,sd
2521,4.050951,0,1,2,200,2,bing,0.008560000000000123,sd
2522,4.051048,1,0,1,54,3,bing,9.699999999934761e-05,sd
2523,4.349926,1,0,1,1494,3,bing,0.2988780000000002,sd
2524,4.349929,1,0,1,1494,3,bing,3.000000000419334e-06,sd
2525,4.349995,1,0,2,601,2,bing,6.599999999945538e-05,sd
2526,4.355064,1,0,1,1494,3,bing,0.005068999999999768,sd
2527,4.355066,1,0,1,1494,3,bing,2.000000000279556e-06,sd
2528,4.355098,1,0,2,408,2,bing,3.2000000000032e-05,sd
2529,4.368932,1,0,1,1494,3,bing,0.013834000000000124,sd
2530,4.368933,1,0,1,1494,3,bing,1.000000000139778e-06,sd
2531,4.368969,1,0,2,491,2,bing,3.5999999999702936e-05,sd
2532,4.370102,0,1,1,56,3,bing,0.0011330000000002727,sd
2533,4.370103,0,1,1,56,3,bing,1.000000000139778e-06,sd
2534,4.371063,0,1,1,56,3,bing,0.0009600000000000719,sd
2535,4.371064,0,1,1,56,3,bing,9.999999992515995e-07,sd
2536,4.376138,0,1,1,1514,3,bing,0.005074000000000467,sd
2537,4.37614,0,1,1,1514,3,bing,2.000000000279556e-06,sd
2538,4.376142,0,1,1,1514,3,bing,1.9999999993913775e-06,sd
2539,4.376251,1,0,1,54,3,bing,0.00010900000000013677,sd
2540,4.376364,1,0,1,54,12,bing,0.0001129999999998077,sd
2541,4.377618,0,1,1,1514,3,bing,0.0012540000000003104,sd
2542,4.377619,0,1,1,1514,3,bing,1.000000000139778e-06,sd
2543,4.37762,0,1,1,1514,3,bing,1.000000000139778e-06,sd
2544,4.377621,0,1,1,1514,3,bing,1.000000000139778e-06,sd
