No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
433,1.482243,1,0,2,339,2,amazon,0.0,sud
436,1.501534,0,1,1,66,3,amazon,0.019290999999999947,sud
440,1.514965,0,1,2,630,2,amazon,0.01343099999999997,sud
441,1.514967,0,1,2,97,2,amazon,2.0000000000575113e-06,sud
442,1.515127,1,0,1,66,3,amazon,0.00015999999999993797,sud
559,2.154429,1,0,2,402,2,amazon,0.639302,sud
562,2.186943,0,1,2,816,2,amazon,0.03251399999999993,sud
563,2.186944,0,1,2,97,2,amazon,1.000000000139778e-06,sud
564,2.187072,1,0,1,66,3,amazon,0.000128000000000128,sud
718,2.24396,1,0,2,441,2,amazon,0.05688799999999983,sud
732,2.298785,0,1,2,1258,2,amazon,0.054825000000000124,sud
733,2.298786,0,1,1,1494,3,amazon,1.000000000139778e-06,sud
734,2.298787,0,1,1,1494,3,amazon,9.999999996956888e-07,sud
735,2.298788,0,1,1,1494,3,amazon,1.000000000139778e-06,sud
736,2.298789,0,1,2,720,2,amazon,1.000000000139778e-06,sud
737,2.298918,1,0,1,66,3,amazon,0.0001289999999998237,sud
738,2.299031,1,0,1,66,16,amazon,0.0001129999999998077,sud
739,2.307193,0,1,1,1494,3,amazon,0.008162000000000003,sud
740,2.307316,1,0,1,66,3,amazon,0.0001230000000003173,sud
741,2.309032,0,1,1,1494,3,amazon,0.0017160000000000508,sud
742,2.309033,0,1,1,1494,3,amazon,9.999999996956888e-07,sud
743,2.309034,0,1,1,1494,3,amazon,1.000000000139778e-06,sud
744,2.309035,0,1,1,1494,3,amazon,1.000000000139778e-06,sud
745,2.309036,0,1,1,1494,3,amazon,9.999999996956888e-07,sud
746,2.309037,0,1,2,354,2,amazon,1.000000000139778e-06,sud
747,2.309037,0,1,2,121,2,amazon,0.0,sud
748,2.309038,0,1,1,1494,3,amazon,1.000000000139778e-06,sud
749,2.309039,0,1,2,379,2,amazon,9.999999996956888e-07,sud
750,2.309039,0,1,2,555,2,amazon,0.0,sud
751,2.30904,0,1,1,1494,3,amazon,1.000000000139778e-06,sud
752,2.309178,1,0,1,66,3,amazon,0.00013800000000019352,sud
753,2.310723,0,1,1,1494,3,amazon,0.0015449999999996855,sud
754,2.310724,0,1,1,1494,3,amazon,1.000000000139778e-06,sud
755,2.310725,0,1,1,1494,3,amazon,1.000000000139778e-06,sud
756,2.310726,0,1,2,1284,2,amazon,9.999999996956888e-07,sud
757,2.310727,0,1,2,924,2,amazon,1.000000000139778e-06,sud
759,2.310855,1,0,1,66,3,amazon,0.000128000000000128,sud
760,2.351002,1,0,1,66,16,amazon,0.04014699999999971,sud
761,2.351742,0,1,1,1494,3,amazon,0.000740000000000407,sud
762,2.351744,0,1,1,1494,3,amazon,1.9999999998354667e-06,sud
