No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
561,5.720275,0,1,1,1514,3,discord,1.000000000139778e-06,sud
562,5.72038,1,0,1,66,3,discord,0.00010499999999957765,sud
563,5.720406,1,0,1,66,3,discord,2.6000000000081513e-05,sud
564,5.720416,1,0,1,66,3,discord,1.0000000000509601e-05,sud
565,5.720478,1,0,1,66,16,discord,6.199999999978445e-05,sud
566,5.723924,0,1,1,1514,3,discord,0.003446000000000282,sud
567,5.723926,0,1,2,1421,2,discord,1.9999999993913775e-06,sud
568,5.723927,0,1,1,1514,3,discord,1.000000000139778e-06,sud
569,5.723928,0,1,1,1514,3,discord,1.000000000139778e-06,sud
570,5.723928,0,1,2,1514,2,discord,0.0,sud
571,5.723929,0,1,1,1514,3,discord,1.000000000139778e-06,sud
572,5.72393,0,1,1,1514,3,discord,1.000000000139778e-06,sud
573,5.72393,0,1,2,1514,2,discord,0.0,sud
574,5.723931,0,1,1,1514,3,discord,1.000000000139778e-06,sud
575,5.723932,0,1,1,1514,3,discord,9.999999992515995e-07,sud
576,5.723932,0,1,2,1514,2,discord,0.0,sud
577,5.723933,0,1,1,1514,3,discord,1.000000000139778e-06,sud
578,5.723934,0,1,1,1514,3,discord,1.000000000139778e-06,sud
579,5.723934,0,1,2,1514,2,discord,0.0,sud
580,5.723935,0,1,1,1514,3,discord,1.000000000139778e-06,sud
581,5.723936,0,1,1,1514,3,discord,1.000000000139778e-06,sud
582,5.724148,1,0,1,66,3,discord,0.00021199999999943486,sud
583,5.724964,0,1,2,1514,2,discord,0.000816000000000372,sud
584,5.724966,0,1,1,1514,3,discord,2.000000000279556e-06,sud
585,5.724967,0,1,2,1514,2,discord,1.000000000139778e-06,sud
586,5.724968,0,1,1,1514,3,discord,9.999999992515995e-07,sud
587,5.724968,0,1,1,1514,3,discord,0.0,sud
588,5.724969,0,1,1,1514,3,discord,1.000000000139778e-06,sud
589,5.72497,0,1,1,1514,3,discord,1.000000000139778e-06,sud
590,5.72497,0,1,1,1514,3,discord,0.0,sud
591,5.724971,0,1,1,1514,3,discord,1.000000000139778e-06,sud
592,5.724972,0,1,1,1514,3,discord,1.000000000139778e-06,sud
593,5.724973,0,1,1,1514,3,discord,1.000000000139778e-06,sud
594,5.724974,0,1,1,1514,3,discord,9.999999992515995e-07,sud
595,5.724974,0,1,1,1514,3,discord,0.0,sud
596,5.724975,0,1,1,1514,3,discord,1.000000000139778e-06,sud
597,5.724975,0,1,2,406,2,discord,0.0,sud
598,5.724976,0,1,1,1514,3,discord,1.000000000139778e-06,sud
599,5.724977,0,1,1,1514,3,discord,1.000000000139778e-06,sud
600,5.724978,0,1,1,1514,3,discord,1.000000000139778e-06,sud
